# ROAS SS input data for ML training
         32.099,         -0.051,          1.000,          0.000,        644.836,         86.821,       4220.317,         37.060,          2.002

          3.773,         -0.026,          1.000,          0.000,        429.371,        260.935,       2729.334,         37.060,          4.028

          3.931,         -0.025,          1.000,          0.000,        410.062,        251.336,       2709.113,         37.060,          4.762

          5.692,         -0.023,          1.000,          0.000,        408.613,        250.257,       2645.777,         37.060,          4.725

          8.162,         -0.025,          1.000,          0.000,        393.575,        237.267,       2334.336,         37.060,          4.954

          4.366,         -0.027,          1.000,          0.000,        393.213,        237.053,       2393.712,         37.060,          5.146

          4.716,         -0.019,          1.000,          0.000,          1.243,        121.267,        799.019,         37.060,          6.635

          3.073,         -0.021,          1.000,          0.000,        401.040,        239.151,       2691.885,         37.060,          5.483

          9.423,         -0.055,          1.000,          0.000,        443.328,        269.975,       3029.407,         37.060,          3.889

          3.031,         -0.026,          1.000,          0.000,        342.626,        202.886,       1788.488,         37.060,          4.951

          7.474,         -0.019,          1.000,          0.000,          2.431,        122.060,        789.541,         37.060,          6.371

          9.499,         -0.036,          1.000,          0.000,        426.209,        259.503,       2431.287,         37.060,          5.170

          3.082,         -0.020,          1.000,          0.000,        405.572,        247.654,       1975.286,         37.060,          3.974

          5.249,         -0.070,          1.000,          0.000,       1780.499,       1095.921,      19152.134,         37.060,          3.451

         24.959,         -0.092,          1.000,          0.000,        613.909,         85.970,       3150.408,         37.060,          3.073

         22.858,         -0.084,          1.000,          0.000,        473.521,          4.695,       2048.223,         37.060,          3.359

          4.516,         -0.035,          1.000,          0.000,        408.607,        250.478,       2963.765,         37.060,          4.317

          3.968,         -0.035,          1.000,          0.000,        426.072,        259.500,       3129.652,         37.060,          4.281

          5.077,         -0.018,          1.000,          0.000,         77.952,        175.256,       1189.918,         37.060,          4.780

         18.740,         -0.033,          1.000,          0.000,        390.154,        244.641,       1919.222,         37.060,          2.689

         15.985,         -0.043,          1.000,          0.000,        518.563,         27.444,       3464.006,         37.060,          2.668

          5.670,         -0.022,          1.000,          0.000,        461.550,        282.871,       2715.293,         37.060,          4.930

          1.491,         -0.023,          1.000,          0.000,        452.110,        277.917,       2732.072,         37.060,          4.906

         23.429,         -0.042,          1.000,          0.000,        396.159,        245.236,       1870.902,         37.060,          2.398

          1.788,         -0.005,          1.000,          0.000,        131.690,         80.060,        269.677,         37.060,          7.799

         15.440,         -0.035,          1.000,          0.000,        673.096,        404.194,       4465.571,         37.060,          2.953

         12.495,         -0.037,          1.000,          0.000,        781.110,        480.258,       6049.807,         37.060,          3.063

         23.953,         -0.091,          1.000,          0.000,        599.257,         78.145,       3106.988,         37.060,          3.279

         29.596,         -0.056,          1.000,          0.000,        725.327,        441.649,       5566.738,         37.060,          2.046

          4.184,         -0.035,          1.000,          0.000,        344.985,        209.351,       2016.195,         37.060,          4.870

         14.685,         -0.040,          1.000,          0.000,        602.487,         77.107,       4445.448,         37.060,          2.980

          0.003,         -0.023,          1.000,          0.000,        314.054,        207.044,       1574.958,         37.060,          3.453

         33.262,         -0.088,          1.000,          0.000,        900.591,        542.172,       6897.742,         37.060,          3.063

         17.669,         -0.081,          1.000,          0.000,       1004.774,        603.451,       9038.602,         37.060,          3.210

         18.849,         -0.090,          1.000,          0.000,       1004.453,        606.838,       8978.070,         37.060,          2.778

         28.294,         -0.101,          1.000,          0.000,       1024.607,        618.688,       9511.912,         37.060,          2.669

          6.019,         -0.021,          1.000,          0.000,         69.781,        161.164,       1191.655,         37.060,          5.591

          6.065,         -0.021,          1.000,          0.000,         55.104,        154.075,       1077.422,         37.060,          5.615

          4.461,         -0.017,          1.000,          0.000,        304.725,        190.172,       1327.570,         37.060,          4.110

          0.212,         -0.035,          1.000,          0.000,       1259.989,        753.414,      15127.651,         37.060,          3.557

          0.785,         -0.015,          1.000,          0.000,        481.672,        290.712,       3369.758,         37.060,          3.860

          5.915,         -0.020,          1.000,          0.000,         87.521,        170.364,       1318.939,         37.060,          5.579

          4.415,         -0.035,          1.000,          0.000,        341.075,        206.985,       2056.789,         37.060,          5.098

          6.790,         -0.027,          1.000,          0.000,        431.409,        261.734,       2537.209,         37.060,          2.360

         10.849,         -0.047,          1.000,          0.000,        491.724,        299.835,       2973.332,         37.060,          4.341

         19.198,         -0.033,          1.000,          0.000,        376.519,        232.749,       2117.815,         37.060,          2.999

         93.410,         -0.291,          1.000,          0.000,       1465.925,        881.852,      15723.278,         37.060,          3.475

         10.788,         -0.034,          1.000,          0.000,        431.093,        258.400,       2811.313,         37.060,          3.003

         12.394,         -0.032,          1.000,          0.000,        401.215,        241.539,       2533.389,         37.060,          3.143

          4.834,         -0.022,          1.000,          0.000,        393.530,        237.737,       1930.733,         37.060,          5.110

          8.661,         -0.025,          1.000,          0.000,        489.900,        299.083,       3664.981,         37.060,          3.881

          8.755,         -0.030,          1.000,          0.000,        575.554,         46.828,       3573.827,         37.060,          3.387

         38.925,         -0.111,          1.000,          0.000,        509.908,         26.128,       3200.840,         37.060,          2.717

         22.504,         -0.084,          1.000,          0.000,        504.510,         25.974,       3234.409,         37.060,          2.972

         19.373,         -0.045,          1.000,          0.000,        508.648,         16.779,       3409.655,         37.060,          2.804

